customer_id,customer_name,city,customer_type
C001,Kodjo Mensah,Atakpamé,Particulier
C002,Koffi Kpodar,Lomé,Particulier
C003,Fafa Koffi,Lomé,Particulier
C004,Afi Agbogbo,Kara,Particulier
C005,Tété Agbogbo,Kpalimé,Entreprise
C006,Koffi Amegbo,Kpalimé,Entreprise
C007,Ama Kouassi,Kara,Entreprise
C008,Adjo Amah,Kara,Particulier
C009,Adjo Adjovi,Lomé,Entreprise
C010,Kodjo Tchalla,Atakpamé,Entreprise
C011,Kossi Gaba,Tsévié,Particulier
C012,Sena Adjovi,Kpalimé,Entreprise
C013,Komi Sodji,Atakpamé,Particulier
C014,Afi Mensah,Kara,Entreprise
C015,Afi Adjei,Kara,Particulier
C016,Sena Amah,Tsévié,Entreprise
C017,Yao Tchalla,Atakpamé,Particulier
C018,Abla Gaba,Lomé,Particulier
C019,Tété Gaba,Kara,Particulier
C020,Dela Koffi,Atakpamé,Particulier
C021,Adjo Adjei,Lomé,Particulier
C022,Kossi Kouassi,Atakpamé,Entreprise
C023,Abla Adjovi,Kara,Entreprise
C024,Esi Aho,Tsévié,Entreprise
C025,Dela Kpodar,Atakpamé,Particulier
C026,Koffi Gaba,Kpalimé,Entreprise
C027,Fafa Koffi,Kpalimé,Entreprise
C028,Mensah Agbogbo,Kara,Entreprise
C029,Afi Kouassi,Lomé,Particulier
C030,Akou Aho,Kara,Entreprise
C031,Komi Adjovi,Tsévié,Entreprise
C032,Komi Amegbo,Kpalimé,Entreprise
C033,Tété Adjei,Lomé,Particulier
C034,Tété Kouassi,Atakpamé,Entreprise
C035,Kodjo Amah,Tsévié,Particulier
C036,Dela Mensah,Atakpamé,Particulier
C037,Ayélé Sodji,Lomé,Entreprise
C038,Ayélé Dossou,Kara,Particulier
C039,Mensah Kouassi,Kara,Particulier
C040,Komi Tchalla,Tsévié,Particulier
C041,Kodjo Sodji,Atakpamé,Entreprise
C042,Koffi Mensah,Kara,Particulier
C043,Afi Gaba,Tsévié,Particulier
C044,Tété Kouassi,Kara,Particulier
C045,Mawuli Akakpo,Kara,Entreprise
C046,Ayélé Adjei,Kpalimé,Entreprise
C047,Esi Sodji,Kpalimé,Particulier
C048,Komlan Koffi,Atakpamé,Entreprise
C049,Ayélé Amegbo,Lomé,Particulier
C050,Koffi Adjovi,Atakpamé,Particulier
C051,Fafa Akakpo,Kara,Particulier
C052,Ama Adjovi,Lomé,Particulier
C053,Afi Sodji,Lomé,Entreprise
C054,Afi Akakpo,Kara,Entreprise
C055,Mawuli Agbogbo,Kpalimé,Particulier
C056,Fafa Dossou,Tsévié,Particulier
C057,Mawuli Kouassi,Tsévié,Particulier
C058,Kodjo Adjovi,Tsévié,Entreprise
C059,Edem Koffi,Tsévié,Particulier
C060,Kodjo Mensah,Tsévié,Entreprise
C061,Kodjo Agbogbo,Kara,Particulier
C062,Tété Amegbo,Kara,Entreprise
C063,Yao Amah,Tsévié,Particulier
C064,Afi Amegbo,Kpalimé,Particulier
C065,Kossi Aho,Kpalimé,Particulier
C066,Afi Sodji,Kara,Particulier
C067,Edem Amegbo,Tsévié,Particulier
C068,Sena Sodji,Lomé,Particulier
C069,Sena Mensah,Tsévié,Entreprise
C070,Dela Amah,Tsévié,Entreprise
C071,Akou Agbogbo,Atakpamé,Particulier
C072,Kossi Dossou,Kpalimé,Particulier
C073,Adjo Mensah,Lomé,Entreprise
C074,Ayélé Sodji,Kpalimé,Particulier
C075,Kossi Akakpo,Lomé,Particulier
C076,Afi Dossou,Lomé,Particulier
C077,Sena Adjovi,Kpalimé,Particulier
C078,Fafa Dossou,Lomé,Particulier
C079,Edem Aho,Kpalimé,Entreprise
C080,Abla Agbogbo,Atakpamé,Particulier
C081,Abla Koffi,Kara,Entreprise
C082,Dela Tchalla,Lomé,Particulier
C083,Dela Dossou,Kpalimé,Particulier
C084,Afi Akakpo,Kara,Entreprise
C085,Akou Sodji,Atakpamé,Particulier
C086,Koffi Tchalla,Atakpamé,Particulier
C087,Dela Adjei,Kpalimé,Entreprise
C088,Komi Kouassi,Kpalimé,Particulier
C089,Tété Amah,Lomé,Particulier
C090,Abla Adjovi,Lomé,Particulier
C091,Abla Amah,Kpalimé,Particulier
C092,Adjo Agbogbo,Atakpamé,Entreprise
C093,Abla Sodji,Lomé,Particulier
C094,Edem Adjei,Atakpamé,Particulier
C095,Ama Tchalla,Kara,Entreprise
C096,Yao Gaba,Tsévié,Entreprise
C097,Tété Mensah,Lomé,Particulier
C098,Akou Akakpo,Lomé,Entreprise
C099,Fafa Akakpo,Kara,Entreprise
C100,Akou Mensah,Atakpamé,Entreprise
